tempo,rpmEsquerdo,rpmDireito,corrente
22665,71.15,84.80,510.00
22688,157.20,84.80,511.00
22713,70.52,53.95,510.00
22736,70.52,82.03,511.00
22761,117.19,82.03,509.00
22786,117.19,82.03,509.00
22825,41.21,43.54,511.00
22854,71.08,73.11,510.00
22878,71.08,73.11,510.00
22902,63.31,51.03,510.00
22927,120.13,51.03,511.00
22950,120.13,80.86,511.00
22975,67.10,80.86,509.00
22999,153.03,80.86,510.00
23023,153.03,80.86,512.00
23047,66.21,32.00,511.00
23071,141.78,32.00,510.00
23096,141.78,32.00,510.00
23119,60.72,32.00,511.00
23142,126.84,29.74,511.00
23165,126.84,29.74,510.00
23190,56.81,29.74,509.00
23214,126.86,29.74,512.00
23238,126.86,29.74,510.00
23262,126.86,29.74,509.00
23286,52.84,29.74,510.00
23311,126.37,29.74,511.00
23334,126.37,29.74,510.00
23359,58.47,29.74,510.00
23383,140.16,12.18,509.00
23426,162.34,74.39,509.00
23453,162.34,74.39,508.00
23478,179.81,74.39,512.00
23501,179.81,50.10,512.00
